,url,privacyStatus,licensedContent,license
cqov5_D6StU,https://youtu.be/cqov5_D6StU,public,False,youtube
RMlmKyqQE-8,https://youtu.be/RMlmKyqQE-8,public,False,youtube
tpfIceU52yU,https://youtu.be/tpfIceU52yU,public,True,youtube
9CiXo2xIlWY,https://youtu.be/9CiXo2xIlWY,public,False,youtube
-EAQOLsSuDg,https://youtu.be/-EAQOLsSuDg,public,False,youtube
ArR8Y8NXD1Y,https://youtu.be/ArR8Y8NXD1Y,public,True,youtube
oI41ib787QA,https://youtu.be/oI41ib787QA,public,True,youtube
Ip6I0PA0ETg,https://youtu.be/Ip6I0PA0ETg,public,False,youtube
ns-qxs99vcY,https://youtu.be/ns-qxs99vcY,public,True,youtube
z9fgTez-21s,https://youtu.be/z9fgTez-21s,public,False,youtube
45l_RwbySTc,https://youtu.be/45l_RwbySTc,public,False,youtube
8fxnyr8etyE,https://youtu.be/8fxnyr8etyE,public,False,youtube
7oqzr9GRG7c,https://youtu.be/7oqzr9GRG7c,public,False,youtube
gv6u2MnqMcs,https://youtu.be/gv6u2MnqMcs,public,False,youtube
0TBVIh9jm3A,https://youtu.be/0TBVIh9jm3A,public,False,youtube
WMGAvi9aexE,https://youtu.be/WMGAvi9aexE,public,False,youtube
HQHskmmVt5U,https://youtu.be/HQHskmmVt5U,public,False,youtube
9fZxoa1G4II,https://youtu.be/9fZxoa1G4II,public,False,youtube
UbeqrUkj1ZA,https://youtu.be/UbeqrUkj1ZA,public,False,youtube
Abco79InYYk,https://youtu.be/Abco79InYYk,public,False,youtube
0GuvNXJLg4c,https://youtu.be/0GuvNXJLg4c,public,True,youtube
fK5ntTEh2ow,https://youtu.be/fK5ntTEh2ow,public,False,youtube
Ai6dsKwI9nE,https://youtu.be/Ai6dsKwI9nE,public,True,youtube
VOnIS9qdYrI,https://youtu.be/VOnIS9qdYrI,public,False,youtube
ciLP1Zh4Ttk,https://youtu.be/ciLP1Zh4Ttk,public,False,youtube
D8EtgMSOVyY,https://youtu.be/D8EtgMSOVyY,public,False,youtube
6L3gt4J8zSA,https://youtu.be/6L3gt4J8zSA,public,False,youtube
QQccJmoETRQ,https://youtu.be/QQccJmoETRQ,public,True,youtube
LCNcad83b9A,https://youtu.be/LCNcad83b9A,public,False,youtube
F9JHyYp1H7Q,https://youtu.be/F9JHyYp1H7Q,public,False,youtube
gaIM2sDra1E,https://youtu.be/gaIM2sDra1E,public,False,youtube
UyixmKchF8o,https://youtu.be/UyixmKchF8o,public,False,youtube
WINmRk_NQ_U,https://youtu.be/WINmRk_NQ_U,public,False,youtube
Sq1bcN4lhBU,https://youtu.be/Sq1bcN4lhBU,public,False,youtube
ZVOCQpBDT24,https://youtu.be/ZVOCQpBDT24,public,False,youtube
ezzPKNRRZHY,https://youtu.be/ezzPKNRRZHY,public,False,youtube
u6Mjmnbf2uU,https://youtu.be/u6Mjmnbf2uU,public,False,youtube
Oc2EXAdhLyg,https://youtu.be/Oc2EXAdhLyg,public,False,youtube
gparK0ENwQU,https://youtu.be/gparK0ENwQU,public,False,youtube
FFye-Mw_Vgs,https://youtu.be/FFye-Mw_Vgs,public,False,youtube
lPhPFGy6tKg,https://youtu.be/lPhPFGy6tKg,public,True,youtube
A33g2rB4dfU,https://youtu.be/A33g2rB4dfU,public,False,youtube
3nOe6Fx7tjo,https://youtu.be/3nOe6Fx7tjo,public,False,youtube
BTDHchOFcRE,https://youtu.be/BTDHchOFcRE,public,False,youtube
67MMQVgghDw,https://youtu.be/67MMQVgghDw,public,False,youtube
2A-jlm92ib4,https://youtu.be/2A-jlm92ib4,public,False,youtube
7ukt0KF0Hws,https://youtu.be/7ukt0KF0Hws,public,True,youtube
Bc-ser8bCHs,https://youtu.be/Bc-ser8bCHs,public,False,youtube
nqFiDTwAnkk,https://youtu.be/nqFiDTwAnkk,public,True,youtube
hFjceMXVdIo,https://youtu.be/hFjceMXVdIo,public,False,youtube
VIdaSVlLTlU,https://youtu.be/VIdaSVlLTlU,unavailable,unavailable,unavailable
F1J4Aw4zUpM,https://youtu.be/F1J4Aw4zUpM,public,True,youtube
bL6KnriZf4k,https://youtu.be/bL6KnriZf4k,public,True,youtube
zzucIi916W4,https://youtu.be/zzucIi916W4,public,False,youtube
2-da4G1PVRo,https://youtu.be/2-da4G1PVRo,public,False,youtube
pqCNjgy9gyk,https://youtu.be/pqCNjgy9gyk,public,True,youtube
favMGnCOwdw,https://youtu.be/favMGnCOwdw,public,False,youtube
PBPpCH3WEoQ,https://youtu.be/PBPpCH3WEoQ,public,False,youtube
HvWpQX-oOkI,https://youtu.be/HvWpQX-oOkI,public,True,youtube
xxPU8EtJSZQ,https://youtu.be/xxPU8EtJSZQ,public,True,youtube
H7owpyb7Jsk,https://youtu.be/H7owpyb7Jsk,public,True,youtube
Ld8b6aya8-8,https://youtu.be/Ld8b6aya8-8,public,True,youtube
AxibvjtDf5g,https://youtu.be/AxibvjtDf5g,public,False,youtube
kVLq0g3Mtwk,https://youtu.be/kVLq0g3Mtwk,public,False,youtube
qhdXrMDeVF8,https://youtu.be/qhdXrMDeVF8,public,True,youtube
8QEwzBxTdLo,https://youtu.be/8QEwzBxTdLo,public,True,youtube
U-MD4Y39nUg,https://youtu.be/U-MD4Y39nUg,public,True,youtube
gN98PBRNhqs,https://youtu.be/gN98PBRNhqs,public,True,youtube
7kr1xnsbgfY,https://youtu.be/7kr1xnsbgfY,public,True,youtube
DaL8yLc0wlw,https://youtu.be/DaL8yLc0wlw,public,False,youtube
IY-rtOViekU,https://youtu.be/IY-rtOViekU,public,False,youtube
6V6oLRAZREs,https://youtu.be/6V6oLRAZREs,public,True,youtube
hje_vkXHSDU,https://youtu.be/hje_vkXHSDU,public,True,youtube
QEv5L_WZYy4,https://youtu.be/QEv5L_WZYy4,public,True,youtube
SPazfN5MotA,https://youtu.be/SPazfN5MotA,public,False,youtube
KAsO0UIWnso,https://youtu.be/KAsO0UIWnso,public,False,youtube
SgGl_LVcPHU,https://youtu.be/SgGl_LVcPHU,public,True,youtube
BMXmbjVoKQY,https://youtu.be/BMXmbjVoKQY,public,False,youtube
M_W9zswV_ik,https://youtu.be/M_W9zswV_ik,public,False,youtube
pNrhEBRNK88,https://youtu.be/pNrhEBRNK88,public,True,youtube
Aml8oCoLwTk,https://youtu.be/Aml8oCoLwTk,public,False,youtube
9Ef05x10nU8,https://youtu.be/9Ef05x10nU8,public,True,youtube
0GVLWAHjQQM,https://youtu.be/0GVLWAHjQQM,public,False,youtube
2bddgEQWYc4,https://youtu.be/2bddgEQWYc4,public,False,youtube
GLqKMAq1Og8,https://youtu.be/GLqKMAq1Og8,public,False,youtube
rv7bUFEyaJs,https://youtu.be/rv7bUFEyaJs,public,True,youtube
mrV1lkUqgwQ,https://youtu.be/mrV1lkUqgwQ,public,True,youtube
LobzZuLxc7U,https://youtu.be/LobzZuLxc7U,public,True,youtube
I5MS9j7CKO8,https://youtu.be/I5MS9j7CKO8,public,True,youtube
rk4P73PKbPc,https://youtu.be/rk4P73PKbPc,public,True,youtube
7A2F7uJlazU,https://youtu.be/7A2F7uJlazU,public,False,youtube
-9nKvk5FMic,https://youtu.be/-9nKvk5FMic,public,False,youtube
k2a8WKLWJoE,https://youtu.be/k2a8WKLWJoE,public,True,youtube
jMF74bebuRI,https://youtu.be/jMF74bebuRI,public,True,youtube
DXM6409fPYo,https://youtu.be/DXM6409fPYo,public,True,youtube
w0gmyUAZS4o,https://youtu.be/w0gmyUAZS4o,public,True,youtube
ObgBW8c4jgI,https://youtu.be/ObgBW8c4jgI,public,False,youtube
